iso_code,country,year,co2_per_capita,cumulative_co2,share_global_co2
AFG,Afghanistan,2020,0.312,192.849,0.03
ALB,Albania,2020,1.576,285.503,0.01
DZA,Algeria,2020,3.535,4587.132,0.45
AND,Andorra,2020,6.035,15.071,0
AGO,Angola,2020,0.675,682.26,0.06
AIA,Anguilla,2020,8.227,3.421,0
ATG,Antigua and Barbuda,2020,4.395,21.527,0
ARG,Argentina,2020,3.473,8431.213,0.45
ARM,Armenia,2020,1.988,383.336,0.02
ABW,Aruba,2020,7.055,75.921,0
AUS,Australia,2020,15.368,18635.75,1.13
AUT,Austria,2020,6.732,5505.509,0.17
AZE,Azerbaijan,2020,3.72,2503.756,0.11
BHS,Bahamas,2020,5.945,169.519,0.01
BHR,Bahrain,2020,20.546,926.303,0.1
BGD,Bangladesh,2020,0.564,1562.306,0.27
BRB,Barbados,2020,3.782,54.875,0
BLR,Belarus,2020,6.079,4907.842,0.17
BEL,Belgium,2020,7.226,12543.142,0.24
BLZ,Belize,2020,1.466,19.063,0
BEN,Benin,2020,0.553,111.665,0.02
BMU,Bermuda,2020,10.028,29.205,0
BTN,Bhutan,2020,2.495,19.193,0.01
BOL,Bolivia,2020,1.773,530.155,0.06
BES,Bonaire Sint Eustatius and Saba,2020,11.466,30.354,0
BIH,Bosnia and Herzegovina,2020,6.528,954.784,0.06
BWA,Botswana,2020,2.772,150.402,0.02
BRA,Brazil,2020,2.199,16238.506,1.34
VGB,British Virgin Islands,2020,4.605,5.499,0
BRN,Brunei,2020,23.22,360.375,0.03
BGR,Bulgaria,2020,5.389,3831.21,0.11
BFA,Burkina Faso,2020,0.19,64.321,0.01
BDI,Burundi,2020,0.051,13.057,0
KHM,Cambodia,2020,0.917,158.244,0.04
CMR,Cameroon,2020,0.26,215.092,0.02
CAN,Canada,2020,14.197,33576.743,1.54
CPV,Cape Verde,2020,0.989,13.287,0
CAF,Central African Republic,2020,0.039,10.544,0
TCD,Chad,2020,0.056,26.058,0
CHL,Chile,2020,4.246,2903.063,0.23
CHN,China,2020,7.412,235564.013,30.65
COL,Colombia,2020,1.751,3399.103,0.26
COM,Comoros,2020,0.297,5.302,0
COG,Congo,2020,0.565,78.481,0.01
COK,Cook Islands,2020,4.522,2.196,0
CRI,Costa Rica,2020,1.552,255.062,0.02
CIV,Cote d'Ivoire,2020,0.382,333.932,0.03
HRV,Croatia,2020,4.137,1078.544,0.05
CUB,Cuba,2020,1.779,1614.249,0.06
CUW,Curacao,2020,20.323,559.293,0.01
CYP,Cyprus,2020,5.38,293.026,0.02
CZE,Czechia,2020,8.215,11917.74,0.25
COD,Democratic Republic of Congo,2020,0.028,193.184,0.01
DNK,Denmark,2020,4.522,4082.633,0.08
DJI,Djibouti,2020,0.356,18.91,0
DMA,Dominica,2020,1.934,4.807,0
DOM,Dominican Republic,2020,2.56,747.717,0.08
ECU,Ecuador,2020,1.753,1197.709,0.09
EGY,Egypt,2020,2.086,6314.498,0.61
SLV,El Salvador,2020,0.944,231.87,0.02
GNQ,Equatorial Guinea,2020,7.317,179.476,0.03
ERI,Eritrea,2020,0.204,17.899,0
EST,Estonia,2020,7.88,1630.194,0.03
SWZ,Eswatini,2020,0.824,40.69,0
ETH,Ethiopia,2020,0.128,258.571,0.04
FRO,Faeroe Islands,2020,13.996,30.637,0
FJI,Fiji,2020,1.554,49.429,0
FIN,Finland,2020,7.091,3191.081,0.11
FRA,France,2020,4.238,38728.681,0.79
GUF,French Guiana,2020,2.439,27.49,0
PYF,French Polynesia,2020,2.949,28.784,0
GAB,Gabon,2020,1.931,258.407,0.01
GMB,Gambia,2020,0.207,13.966,0
GEO,Georgia,2020,2.499,659.381,0.03
DEU,Germany,2020,7.69,92635.615,1.85
GHA,Ghana,2020,0.515,371.319,0.05
GRC,Greece,2020,5.012,4073.671,0.15
GRL,Greenland,2020,9.061,33.05,0
GRD,Grenada,2020,2.62,8.263,0
GLP,Guadeloupe,2020,6.403,83.818,0.01
GTM,Guatemala,2020,1.057,444.931,0.05
GIN,Guinea,2020,0.258,86.235,0.01
GNB,Guinea-Bissau,2020,0.146,10.094,0
GUY,Guyana,2020,2.813,100.59,0.01
HTI,Haiti,2020,0.256,76.215,0.01
HND,Honduras,2020,0.975,256.321,0.03
HKG,Hong Kong,2020,4.167,1620.288,0.09
HUN,Hungary,2020,4.997,5010.79,0.14
ISL,Iceland,2020,8.604,151.824,0.01
IND,India,2020,1.769,54416.489,7.02
IDN,Indonesia,2020,2.155,14399.96,1.69
IRN,Iran,2020,8.87,18914.439,2.14
IRQ,Iraq,2020,5.242,4656.536,0.61
IRL,Ireland,2020,6.754,2224.061,0.1
ISR,Israel,2020,6.51,2379.693,0.16
ITA,Italy,2020,5.025,24739.057,0.87
JAM,Jamaica,2020,2.509,452.856,0.02
JPN,Japan,2020,8.15,65625.167,2.96
JOR,Jordan,2020,2.498,701.302,0.07
KAZ,Kazakhstan,2020,15.516,13908.24,0.84
KEN,Kenya,2020,0.3,467.027,0.05
KIR,Kiribati,2020,0.57,2.085,0
OWID_KOS,Kosovo,2020,,105.637,0.02
KWT,Kuwait,2020,20.825,2877.516,0.26
KGZ,Kyrgyzstan,2020,1.764,861.77,0.03
LAO,Laos,2020,4.652,178.015,0.1
LVA,Latvia,2020,3.591,950.275,0.02
LBN,Lebanon,2020,3.805,733.434,0.07
LSO,Lesotho,2020,1.019,63.982,0.01
LBR,Liberia,2020,0.2,52.517,0
LBY,Libya,2020,7.382,2136.29,0.15
LIE,Liechtenstein,2020,3.698,6.111,0
LTU,Lithuania,2020,5.069,1557.847,0.04
LUX,Luxembourg,2020,13.059,753.686,0.02
MDG,Madagascar,2020,0.133,96.77,0.01
MWI,Malawi,2020,0.073,50.701,0
MYS,Malaysia,2020,8.423,6071.964,0.78
MDV,Maldives,2020,3.324,24.911,0.01
MLI,Mali,2020,0.167,63.319,0.01
MLT,Malta,2020,3.612,104.591,0
MHL,Marshall Islands,2020,2.556,3.417,0
MTQ,Martinique,2020,6.258,88.274,0.01
MRT,Mauritania,2020,0.726,75.633,0.01
MUS,Mauritius,2020,3.129,115.757,0.01
MYT,Mayotte,2020,1.12,6.517,0
MEX,Mexico,2020,2.769,20075.006,1.03
MDA,Moldova,2020,1.276,1379.219,0.01
MNG,Mongolia,2020,26.978,787.437,0.25
MNE,Montenegro,2020,3.678,103.621,0.01
MSR,Montserrat,2020,5.065,1.618,0
MAR,Morocco,2020,1.748,1737.595,0.19
MOZ,Mozambique,2020,0.21,177.092,0.02
MMR,Myanmar,2020,0.668,611.491,0.1
NAM,Namibia,2020,1.526,76.039,0.01
NRU,Nauru,2020,5.236,4.858,0
NPL,Nepal,2020,0.582,165.884,0.05
NLD,Netherlands,2020,8.06,11739.972,0.4
NCL,New Caledonia,2020,30.448,157.007,0.02
NZL,New Zealand,2020,6.942,1886.569,0.1
NIC,Nicaragua,2020,0.766,177.397,0.01
NER,Niger,2020,0.07,46.523,0
NGA,Nigeria,2020,0.609,3914.991,0.36
NIU,Niue,2020,7.012,0.29,0
PRK,North Korea,2020,1.137,5049.468,0.08
MKD,North Macedonia,2020,3.43,636.096,0.02
NOR,Norway,2020,7.615,2632.394,0.12
OMN,Oman,2020,12.173,1251.111,0.18
PAK,Pakistan,2020,1.063,5162.289,0.67
PLW,Palau,2020,12.125,10.562,0
PSE,Palestine,2020,0.568,59.438,0.01
PAN,Panama,2020,2.498,309.251,0.03
PNG,Papua New Guinea,2020,0.744,169.499,0.02
PRY,Paraguay,2020,1.061,177.914,0.02
PER,Peru,2020,1.356,1941.85,0.13
PHL,Philippines,2020,1.241,3390.274,0.39
POL,Poland,2020,7.916,27863.876,0.86
PRT,Portugal,2020,3.961,2614.595,0.12
QAT,Qatar,2020,37.019,2094.572,0.31
ROU,Romania,2020,3.715,8493.294,0.21
RUS,Russia,2020,10.807,115344.15,4.53
RWA,Rwanda,2020,0.08,28.684,0
SHN,Saint Helena,2020,1.564,0.379,0
KNA,Saint Kitts and Nevis,2020,3.986,6.34,0
LCA,Saint Lucia,2020,2.396,14.366,0
SPM,Saint Pierre and Miquelon,2020,8.738,3.677,0
VCT,Saint Vincent and the Grenadines,2020,1.883,6.967,0
WSM,Samoa,2020,1.239,6.782,0
STP,Sao Tome and Principe,2020,0.514,3.361,0
SAU,Saudi Arabia,2020,17.967,15936.377,1.8
SEN,Senegal,2020,0.624,243.299,0.03
SRB,Serbia,2020,4.937,2734.456,0.12
SYC,Seychelles,2020,4.994,13.38,0
SLE,Sierra Leone,2020,0.11,36.096,0
SGP,Singapore,2020,7.778,2157.028,0.13
SXM,Sint Maarten (Dutch part),2020,14.539,67.704,0
SVK,Slovakia,2020,5.629,3869.881,0.09
SVN,Slovenia,2020,6.043,851.1,0.04
SLB,Solomon Islands,2020,0.435,10.435,0
SOM,Somalia,2020,0.035,32.89,0
ZAF,South Africa,2020,7.62,21164.298,1.3
KOR,South Korea,2020,11.656,18335.707,1.72
SSD,South Sudan,2020,0.105,38.352,0
ESP,Spain,2020,4.468,14853.333,0.6
LKA,Sri Lanka,2020,0.986,500.281,0.06
SDN,Sudan,2020,0.43,446.154,0.05
SUR,Suriname,2020,3.791,115.203,0.01
SWE,Sweden,2020,3.826,4987.956,0.11
CHE,Switzerland,2020,3.732,3022.785,0.09
SYR,Syria,2020,1.745,1867.934,0.09
TWN,Taiwan,2020,11.47,9046.736,0.78
TJK,Tajikistan,2020,0.991,489.614,0.03
TZA,Tanzania,2020,0.183,243.841,0.03
THA,Thailand,2020,3.693,7364.298,0.74
TLS,Timor,2020,0.399,6.543,0
TGO,Togo,2020,0.265,66.128,0.01
TON,Tonga,2020,1.36,4.384,0
TTO,Trinidad and Tobago,2020,25.373,1569.561,0.1
TUN,Tunisia,2020,2.38,901.512,0.08
TUR,Turkey,2020,4.657,10839.788,1.13
TKM,Turkmenistan,2020,12.491,2434.766,0.22
TCA,Turks and Caicos Islands,2020,5.231,3.931,0
TUV,Tuvalu,2020,0.642,0.279,0
UGA,Uganda,2020,0.107,105.595,0.01
UKR,Ukraine,2020,4.891,30559.156,0.61
ARE,United Arab Emirates,2020,15.193,4695.477,0.43
GBR,United Kingdom,2020,4.855,78161.146,0.95
USA,United States,2020,14.238,416723.089,13.54
URY,Uruguay,2020,1.681,371.229,0.02
UZB,Uzbekistan,2020,3.37,6310.349,0.32
VUT,Vanuatu,2020,0.591,4.752,0
VEN,Venezuela,2020,2.975,7854.692,0.24
VNM,Vietnam,2020,2.613,3977.272,0.73
OWID_WRL,World,2020,4.465,1696524.177,100
YEM,Yemen,2020,0.328,624.654,0.03
ZMB,Zambia,2020,0.358,247.988,0.02
ZWE,Zimbabwe,2020,0.709,779.383,0.03